,size
12,13
2,5
3,20
4,117
6,7
80s,11
Christmas,19
EDM,7
Latin_jazz,2
accordion,14
arpeggiated,100
auxiliary_percussion,29
bass,70
boogie-woogie,2
brass,39
breakbeat,3
chiptune,8
chromatic_mediants,6
detuned,3
drums,41
drumset,75
electric_guitar,22
electric_organ,15
electric_piano,30
glockenflute,16
high_reverb,133
lament,15
light_drums,7
low_reverb,30
majorish,96
marimba,17
metallic_percussion,116
military,10
minor_iv,6
minorish,64
no_bass,10
no_drums,63
no_tonality,3
offbeat_8ths,2
orchestra,17
organ,3
piano,52
plucked_strings,73
polka,2
rock,42
shuffle,4
strings,83
sweeps,8
synth,42
train,6
violin,11
vocals,41
waltz,2
wind_effect,5
woodwinds,93
xylophone,20
