,size
12,13
2,5
3,20
4,117
6,7
80s,11
Christmas,19
EDM,7
Latin_jazz,2
accordion,14
acoustic_bass,11
acoustic_guitar,16
aeolian,26
arpeggiated,100
auxiliary_percussion_other,14
boogie-woogie,2
brass_other,9
breakbeat,3
celesta,14
chimes,30
chiptune,8
chromatic_mediants,6
clarinet,20
crotales,12
cymbals,23
detuned,3
dorian,13
drums_other,19
drumset,75
electric_bass,36
electric_guitar,22
electric_organ,15
electric_piano,30
flute,56
glockenflute,16
glockenspiel,47
hand_drums,12
harp,41
high_reverb,133
horn,26
lament,15
light_drums,7
low_reverb,30
major,89
majorish_other,7
marimba,17
metallic_percussion_other,11
military,10
minor,25
minor_iv,6
minorish_other,2
no_bass,10
no_drums,63
no_tonality,3
oboe,19
offbeat_8ths,2
orchestra,17
organ,3
other_vocals,19
pan_flute,13
piano,52
pizz_strings,32
plucked_strings_other,12
polka,2
rock,42
shaker,17
shuffle,4
sleigh_bells,42
snare,15
strings,83
sweeps,8
synth_bass,23
synth_lead,14
synth_other,34
tambourine,26
train,6
treble_vocals,28
triangle,12
trumpet,10
vibraphone,15
violin,11
waltz,2
wind_chimes,14
wind_effect,5
woodwinds_other,18
xylophone,20
